,time,price
8,2021-04-07 07:00:00+00:00,832.39
9,2021-04-07 08:00:00+00:00,657.27
10,2021-04-07 09:00:00+00:00,551.09
11,2021-04-07 10:00:00+00:00,515.46
12,2021-04-07 11:00:00+00:00,416.85
13,2021-04-07 12:00:00+00:00,410.59
14,2021-04-07 13:00:00+00:00,403.43
15,2021-04-07 14:00:00+00:00,402.01
16,2021-04-07 15:00:00+00:00,403.02
17,2021-04-07 16:00:00+00:00,406.25
18,2021-04-07 17:00:00+00:00,468.32
19,2021-04-07 18:00:00+00:00,560.17
20,2021-04-07 19:00:00+00:00,485.58
21,2021-04-07 20:00:00+00:00,425.33
22,2021-04-07 21:00:00+00:00,413.11
23,2021-04-07 22:00:00+00:00,390.3
0,2021-04-07 23:00:00+00:00,391.85
1,2021-04-08 00:00:00+00:00,385.0
2,2021-04-08 01:00:00+00:00,384.6
3,2021-04-08 02:00:00+00:00,392.46
4,2021-04-08 03:00:00+00:00,392.15
5,2021-04-08 04:00:00+00:00,405.95
6,2021-04-08 05:00:00+00:00,599.11
7,2021-04-08 06:00:00+00:00,804.25
8,2021-04-08 07:00:00+00:00,999.62
9,2021-04-08 08:00:00+00:00,669.6
10,2021-04-08 09:00:00+00:00,601.32
11,2021-04-08 10:00:00+00:00,589.44
12,2021-04-08 11:00:00+00:00,546.23
13,2021-04-08 12:00:00+00:00,414.61
14,2021-04-08 13:00:00+00:00,402.73
15,2021-04-08 14:00:00+00:00,402.93
16,2021-04-08 15:00:00+00:00,403.13
17,2021-04-08 16:00:00+00:00,402.63
18,2021-04-08 17:00:00+00:00,403.63
19,2021-04-08 18:00:00+00:00,406.45
20,2021-04-08 19:00:00+00:00,396.58
21,2021-04-08 20:00:00+00:00,382.69
22,2021-04-08 21:00:00+00:00,371.91
23,2021-04-08 22:00:00+00:00,353.48
0,2021-04-08 23:00:00+00:00,357.72
1,2021-04-09 00:00:00+00:00,366.88
2,2021-04-09 01:00:00+00:00,362.15
3,2021-04-09 02:00:00+00:00,361.75
4,2021-04-09 03:00:00+00:00,367.69
5,2021-04-09 04:00:00+00:00,370.91
6,2021-04-09 05:00:00+00:00,372.52
7,2021-04-09 06:00:00+00:00,372.01
8,2021-04-09 07:00:00+00:00,380.57
9,2021-04-09 08:00:00+00:00,380.17
10,2021-04-09 09:00:00+00:00,377.45
11,2021-04-09 10:00:00+00:00,372.21
12,2021-04-09 11:00:00+00:00,370.0
13,2021-04-09 12:00:00+00:00,367.48
14,2021-04-09 13:00:00+00:00,364.97
15,2021-04-09 14:00:00+00:00,362.05
16,2021-04-09 15:00:00+00:00,362.05
17,2021-04-09 16:00:00+00:00,362.95
18,2021-04-09 17:00:00+00:00,361.75
19,2021-04-09 18:00:00+00:00,373.12
20,2021-04-09 19:00:00+00:00,381.78
21,2021-04-09 20:00:00+00:00,384.29
22,2021-04-09 21:00:00+00:00,386.61
23,2021-04-09 22:00:00+00:00,381.98
0,2021-04-09 23:00:00+00:00,384.65
1,2021-04-10 00:00:00+00:00,384.55
2,2021-04-10 01:00:00+00:00,388.6
3,2021-04-10 02:00:00+00:00,395.29
4,2021-04-10 03:00:00+00:00,400.15
5,2021-04-10 04:00:00+00:00,407.14
6,2021-04-10 05:00:00+00:00,415.76
7,2021-04-10 06:00:00+00:00,420.11
8,2021-04-10 07:00:00+00:00,423.76
9,2021-04-10 08:00:00+00:00,427.71
10,2021-04-10 09:00:00+00:00,427.41
11,2021-04-10 10:00:00+00:00,424.47
12,2021-04-10 11:00:00+00:00,420.52
13,2021-04-10 12:00:00+00:00,418.29
14,2021-04-10 13:00:00+00:00,416.16
15,2021-04-10 14:00:00+00:00,415.25
16,2021-04-10 15:00:00+00:00,415.86
17,2021-04-10 16:00:00+00:00,418.09
18,2021-04-10 17:00:00+00:00,420.72
19,2021-04-10 18:00:00+00:00,423.76
20,2021-04-10 19:00:00+00:00,425.08
21,2021-04-10 20:00:00+00:00,422.04
22,2021-04-10 21:00:00+00:00,420.42
23,2021-04-10 22:00:00+00:00,416.77
0,2021-04-10 23:00:00+00:00,422.5
1,2021-04-11 00:00:00+00:00,421.39
2,2021-04-11 01:00:00+00:00,415.73
3,2021-04-11 02:00:00+00:00,417.75
4,2021-04-11 03:00:00+00:00,416.94
5,2021-04-11 04:00:00+00:00,411.28
6,2021-04-11 05:00:00+00:00,416.23
7,2021-04-11 06:00:00+00:00,411.28
8,2021-04-11 07:00:00+00:00,418.05
9,2021-04-11 08:00:00+00:00,419.88
10,2021-04-11 09:00:00+00:00,420.38
11,2021-04-11 10:00:00+00:00,418.97
12,2021-04-11 11:00:00+00:00,419.37
13,2021-04-11 12:00:00+00:00,417.95
14,2021-04-11 13:00:00+00:00,410.77
15,2021-04-11 14:00:00+00:00,404.61
16,2021-04-11 15:00:00+00:00,411.18
17,2021-04-11 16:00:00+00:00,418.86
