,index,PmP2QAct,PmP2PAct,PL,FedQAct,elspec_PmEAct,PmP2EImportAct,PV,Met_WdSpd,Met_Temp,Met_IrrGloHoztl,Met_IrrPOA,Met_ModTemo,SysBatIAct,SysBatEAct,SysBatSocTotAct,SysBatVAct,SysBatChargingSt,SysBatDischargingSt,date
1661,16610,-4.500435992822808,11.088177866854911,284.8264393849417,13.460922111164438,273.75,13.125,231.5625,0.8333333333333334,13.75,308.0,213.0,0.5,3.083333333333333,762.2496032714844,69.64999771118165,742.6799926757811,0.9732868757259001,0.5703446780836765,2020-10-12 13:50:00
1662,16620,-5.003419661521912,13.488869611422219,289.3775804307725,9.514596568727951,324.99999997671694,13.125,243.87500001350418,1.0,14.199999809265135,299.0,202.0,0.5,0.5,762.2496032714844,69.64999771118165,742.6555514865452,0.975609756097561,0.5714285714285714,2020-10-12 14:00:00
1663,16630,-3.993612542359725,18.34170583642048,302.34705487419575,10.116521238166596,281.25,18.75,216.75000000279397,1.0,14.300000190734865,291.0,188.66666666666666,0.5,1.125,762.2496032714844,69.64999771118165,742.6799926757811,0.9779326364692218,0.5725124647734663,2020-10-12 14:10:00
1664,16640,-3.924614860230133,16.321824065777438,298.22719209688205,11.571865877897844,288.75,15.0,208.49999999860302,1.5,13.699999809265135,279.0,177.5,0.5,0.4,762.2496032714844,69.64999771118165,742.6499938964844,0.9802555168408826,0.5735963581183612,2020-10-12 14:20:00
1665,16650,-3.209477906597071,19.607222951691732,270.01850943280084,12.497133834021433,252.49999998137355,19.6875,218.1250000046566,3.0,13.699999809265135,267.5,165.0,0.5,0.1875,762.2496032714844,69.64999771118165,742.6444363064235,0.9825783972125435,0.5746802514632561,2020-10-12 14:30:00
1666,16660,-4.096870719885626,12.583277077234095,243.28190859840032,8.88754199431823,236.25,15.00000000698492,180.0,1.6666666666666665,13.916667143503824,258.0,151.0,0.5,1.357142857142857,762.2496032714844,69.64999771118165,742.6125030517578,0.9849012775842043,0.5757641448081509,2020-10-12 14:40:00
1667,16670,-3.507715615961287,17.844963041674184,239.62187358311246,10.449532758205308,229.99999998137355,17.50000002561137,187.74999999906868,1.5,13.96666685740153,245.0,140.0,0.5,0.21428571428571402,762.2496032714844,69.64999771118165,742.6285661969868,0.9872241579558654,0.5768480381530458,2020-10-12 14:50:00
1668,16680,0.317900150406117,19.30393487681513,246.45132810879602,8.223107654398138,232.5,21.750000002793968,161.25,1.0,14.0,235.0,128.0,0.5,-1.733333333333333,762.2496032714844,69.64999771118165,742.6571393694197,0.9895470383275262,0.5779319314979406,2020-10-12 15:00:00
1669,16690,-4.4348881026109055,16.966380381584166,221.1707270586931,3.159940843270204,206.25,15.312500002328306,145.50000000279397,1.5,14.0,212.0,117.0,0.5,0.923076923076922,762.2496032714844,69.64999771118165,742.6499938964844,0.9918699186991871,0.5790158248428354,2020-10-12 15:10:00
1670,16700,-3.8779516796271,12.407931470870972,246.44877327813043,7.940402423893964,226.2499999953434,11.875000018626451,130.49999999580905,2.0,13.850000381469727,192.0,104.66666666666667,0.5,-3.5,762.7968139648436,69.69999694824217,742.6499938964844,0.9941927990708479,0.5800997181877303,2020-10-12 15:20:00
1671,16710,-4.045007889553651,13.764827275680277,218.98863276210403,9.211450402225767,247.49999997206032,12.499999995343387,119.25000000279397,1.1666666666666667,13.333333651224773,175.0,96.0,0.5,-0.7333333333333331,762.2496032714844,69.64999771118165,742.5999908447264,0.9965156794425087,0.5811836115326252,2020-10-12 15:30:00
1672,16720,-5.052539560529921,14.45078432971034,209.76546531811084,8.077358990072092,198.75,11.874999983701855,101.99999999720603,1.1666666666666667,13.600000381469727,160.0,88.0,0.5,0.8571428571428571,761.702392578125,69.59999847412111,742.588887532552,0.9988385598141696,0.5822675048775201,2020-10-12 15:40:00
